19841,19841,255
20019,20019,254
31697,31697,255
31876,31876,254
42031,42031,255
42210,42210,254
52342,52342,255
52521,52521,254
62062,62062,255
62242,62242,254
71811,71811,255
71989,71989,254
81366,81366,255
81546,81546,254
90808,90808,255
90986,90986,254
101959,101959,255
102138,102138,254
114007,114007,255
114187,114187,254
124535,124535,255
124716,124716,254
134124,134124,255
134304,134304,254
145136,145136,255
145314,145314,254
156380,156380,255
156559,156559,254
166495,166495,255
166675,166675,254
176961,176961,255
177140,177140,254
187491,187491,255
187671,187671,254
196601,196601,255
196780,196780,254
207977,207977,255
208157,208157,254
218092,218092,255
218271,218271,254
229882,229882,255
230061,230061,254
238653,238653,255
238831,238831,254
248483,248483,255
248663,248663,254
257793,257793,255
257974,257974,254
267517,267517,255
267695,267695,254
277341,277341,255
277522,277522,254
286515,286515,255
286694,286694,254
296983,296983,255
297162,297162,254
308037,308037,255
308216,308216,254
316670,316670,255
316850,316850,254
319132,339199,254
